time_s,centered_signal,filtered_signal,is_peak
222.84,-0.009319890212426192,0.03406350427787633,0
222.86,-0.008995969946640078,0.03311103556472672,0
222.88,-0.00542454137521442,0.0321532164331335,0
222.9,0.014703663752992913,0.031192048367723026,0
222.92000000000002,0.03343716075244328,0.03022941722028901,0
222.94,0.025671203305641353,0.029267087477479067,0
222.96,0.017905245858828384,0.028306697771694516,0
222.98000000000002,0.017720619915109294,0.02734975759099182,0
223.0,0.019586997086327478,0.026397645138731076,0
223.02,0.014663920163247843,0.025451606292909504,0
223.04,0.009740843240175203,0.024512754614590015,0
223.06,0.004817766317095568,0.023582072353408774,0
223.08,0.019325458624785574,0.022660412395776604,0
223.1,0.012950458624790169,0.02174850109790358,0
223.12,0.006575458624785702,0.020846941941643424,0
223.14000000000001,0.010492125291454144,0.019956219947806133,0
223.16,0.01440879195811702,0.0190767067799265,0
223.18,0.018325458624785462,0.018208666471113435,0
223.20000000000002,-0.008582150070865014,0.017352261707188378,0
223.22,-0.0017343239839135273,0.016507560601142213,0
223.24,0.005113502103047691,0.015674543896285108,0
223.26,0.00740987420920063,0.014853112536167244,0
223.28,0.008189094988421828,0.014043095537471281,0
223.3,0.008968315767643025,0.013244258099693262,0
223.32,0.009747536546863115,0.012456309885531772,0
223.34,0.02907545862478539,0.011678913409761973,0
223.36,-0.023644053570330174,0.010911692481747316,0
223.38,-0.010839175521560341,0.010154240656863316,0
223.4,0.0004942086247814223,0.00940612966268451,0
223.42000000000002,-0.016130791375230418,0.008666917772791414,0
223.44,-0.03168112032258182,0.007936158101959294,0
223.46,-0.026812699269949107,0.007213406792242746,0
223.48000000000002,-0.02264045046612333,0.006498231051429052,0
223.5,-0.02241317773885077,0.005790216992989979,0
223.52,-0.022185905011577887,0.005088977210174227,0
223.54,-0.0021803553287001037,0.0043941579989762135,0
223.56,0.01886615629921453,0.0037054461289820206,0
223.58,0.014631014180331041,0.00302257505084097,0
223.6,0.004075458624785477,0.0023453304279281856,0
223.62,0.0027212919581181333,0.0016735548901174076,0
223.64000000000001,0.0013671252914507891,0.001007151927877311,0
223.66,-0.003580791375213277,0.00034608886980853903,0
223.68,-0.010924541375214536,-0.0003096010888080092,0
223.70000000000002,-0.014402802244782072,-0.0009598178171445967,0
223.72,-0.017881063114344665,-0.0016043941318958609,0
223.74,-0.01765181410248632,-0.002243096609914799,0
223.76,-0.015833632284306256,-0.002875627297567039,0
223.78,-0.01401545046612361,-0.0035016262770298304,0
223.8,-0.013630423728156696,-0.004120675044912061,0
223.82,-0.007593896213928095,-0.004732300654067675,0
223.84,0.004825458624785561,-0.00533598056387082,0
223.86,-0.00801936896142952,-0.005931148136320983,0
223.88,-0.020864196547626345,-0.006517198704114973,0
223.9,-0.032278708041880405,-0.007093496122416661,0
223.92000000000002,-0.030820374708546268,-0.0076593797013212745,0
223.94,-0.031799541375214374,-0.00821417140567691,0
223.96,-0.03262966958034136,-0.008757183206239845,0
223.98000000000002,-0.02968095163162307,-0.009287724470690846,0
224.0,-0.027527482551683427,-0.009805109291999143,0
224.02,-0.02988042372815579,-0.010308663662183706,0
224.04,-0.032233364904624806,-0.010797732409975338,0
224.06,-0.027968659022271795,-0.011271685830560369,0
224.08,-0.01929218843402998,-0.011729925944593345,0
224.1,-0.022332436112055553,-0.012171892332137012,0
224.12,-0.02667454137521441,-0.012597067494441281,0
224.14000000000001,-0.030070767790310666,-0.013004981701473121,0
224.16,-0.0334669942054021,-0.013395217286017712,0
224.18,-0.034613935314607186,-0.013767412347780932,0
224.20000000000002,-0.03158363228430141,-0.014121263835275644,0
224.22,-0.034982233682908113,-0.014456529980196501,0
224.24,-0.041136079836755,-0.014773032067980923,0
224.26,-0.041662636613310496,-0.015070655538459253,0
224.28,-0.040313430264103195,-0.01534935042172211,0
224.3,-0.038964223914895894,-0.015609131127065672,0
224.32,-0.019257874708547767,-0.015850075617172464,0
224.34,-0.016455791375217032,-0.016072324014105435,0
224.36,-0.02540370804188227,-0.016276076695324368,0
224.38,-0.02769537470854672,-0.016461591943835757,0
224.4,-0.029987041375214428,-0.01662918321609695,0
224.42000000000002,-0.03383583169779672,-0.01677921608693805,0
224.44,-0.03724761829829334,-0.016912104926263265,0
224.46,-0.03440146445213794,-0.0170283093599768,0
224.48000000000002,-0.031555310605982545,-0.017128330567893518,0
224.5,-0.02870915675983119,-0.0172127074736816,0
224.52,-0.012772367462167724,-0.017282012884717323,0
224.54,-0.020446600198735843,-0.01733684964102939,0
224.56,-0.03522183867250974,-0.017377846830144993,0
224.58,-0.026167784618452504,-0.01740565611777166,0
224.6,-0.019764541375212753,-0.01742094823443112,0
224.62,-0.023964541375216294,-0.017424409648267903,0
224.64000000000001,-0.028164541375219832,-0.01741673944551774,0
224.66,-0.029897514348187593,-0.017398646431512916,0
224.68,-0.03057319002386355,-0.017370846455880887,0
224.70000000000002,-0.03159346029413444,-0.017334059956773108,0
224.72,-0.032674541375214305,-0.01728900971193377,0
