time_s,acc_x_centered_resampled,acc_y_centered_resampled,acc_z_centered_resampled,acc_x_filtered,acc_y_filtered,acc_z_filtered
26.28,-2.6548993001555345,-3.8040646708138866,-10.75544790046655,-2.1720473338289246,-1.6109927327802636,-8.093180389596457
26.3,-7.595899300155452,-6.732064670813884,-10.511447900466578,-2.16299341582227,-1.7928815491648136,-8.290826018149236
26.32,-10.157899300155464,-3.560064670813887,-11.243447900466549,-2.1521427962866984,-1.9706512194541186,-8.47941212294943
26.34,-4.678048678834356,-1.2174013614614032,-12.191401464887816,-2.1395622195359927,-2.1442014627628123,-8.658719613278883
26.36,-3.3426707165198777,-2.872293254449459,-11.286021495853124,-2.125323476729137,-2.3134445344956194,-8.82856398504654
26.38,-1.3738993001554718,-0.6320646708138895,-17.64844790046658,-2.1095030791988645,-2.478304878096555,-8.988795855939435
26.400000000000002,-2.898899300155449,0.40493532918611663,-12.707447900466548,-2.092181884200644,-2.6387187562524885,-9.139301283417002
26.42,-5.094899300155475,-2.4010646708138665,-15.147447900466545,-2.0734446749696076,-2.794633870124817,-9.280001860329223
26.44,-0.48631445579847465,-5.096259618932888,-7.356582372743454,-2.0533796986945063,-2.946008973440983,-9.410854586344126
26.46,-1.407893587683256,-4.9417504848411795,-9.173126097864206,-2.032078166790371,-3.092813485876917,-9.531851517274315
26.48,-2.8378993001555273,-3.8650646708138936,-10.26744790046655,-2.00963372228639,-3.23502710781111,-9.643019197833196
26.5,-3.9358993001554836,-3.560064670813887,-9.9624479004666,-1.9861418793539927,-3.372639436942192,-9.744417885337736
26.52,-3.874899300155448,-5.756064670813885,-10.023447900466579,-1.9616994398939516,-3.505649586605325,-9.83614057217477
26.54,-0.3978993001554727,-2.8280646708138875,-8.55944790046658,-1.9364038919235784,-3.6340658054681194,-9.918311814067977
26.560000000000002,2.164100699844539,-2.7670646708138804,-9.04744790046658,-1.9103527946122834,-3.7579050981477806,-9.991086370042842
26.580000000000002,-6.0708993001554745,-5.512064670813885,-14.903447900466574,-1.8836431550586068,-3.8771928459596205,-10.054647658737187
26.6,-9.425899300155493,-5.756064670813885,-16.91644790046655,-1.8563708017421165,-3.991962426420103,-10.109206034379277
26.62,-5.643899300155454,-4.292064670813886,-15.147447900466545,-1.828629759036922,-4.102254829336271,-10.154996884804426
26.64,-0.6418993001555009,-5.451064670813878,-15.208447900466581,-1.8005116272607773,-4.2081182665958154,-10.192278554204155
26.66,4.421100699844487,-5.512064670813885,-12.524447900466555,-1.7721049743510786,-4.3096077724105335,-10.2213300954624
26.68,-5.887899300155482,-6.732064670813884,-15.879447900466573,-1.7434947477425187,-4.406784790743734,-10.242448860508077
26.7,-3.569899300155498,-2.7670646708138804,-16.42844790046655,-1.7147617166030653,-4.499716746798102,-10.255947941083617
26.72,0.7611006998445191,-5.024064670813885,-11.548447900466556,-1.6859819543894168,-4.588476599671836,-10.262153476022428
26.740000000000002,-0.8858993001555291,-8.684064670813882,-10.328447900466585,-1.6572263705160473,-4.673142373511732,-10.261401844520181
26.76,0.21210069984454094,-8.01306467081389,-11.060447900466556,-1.6285602988599184,-4.7537966645727705,-10.254036767991387
26.78,-3.3868993001555054,-6.732064670813884,-16.306447900466594,-1.600043149836662,-4.8305261217147235,-10.240406345474916
26.8,-2.1058993001554427,-4.780064670813886,-14.110447900466568,-1.5717281313636646,-4.903420898536029,-10.22086004877016
26.82,-1.190899300155479,-7.708064670813883,-13.683447900466547,-1.5436620422399723,-4.972574076765417,-10.19574570394585
26.84,-0.6418993001555009,-7.037064670813891,-11.975447900466577,-1.5158851398697106,-5.038081062251909,-10.165406486513985
26.86,-2.6548993001555345,-4.963064670813878,-10.511447900466578,-1.4884310830768388,-5.100038956360932,-10.13017795883071
26.88,-2.4108993001555064,-7.952064670813883,-10.4504479004666,-1.461326949764367,-5.158545906714057,-10.090385179664988
26.900000000000002,3.9941006998444664,-0.38806467081388973,-13.683447900466547,-1.4345933281045546,-5.213700442172379,-10.046339916547932
26.92,1.2491006998444618,-7.037064670813891,-11.487447900466577,-1.4082444787513912,-5.265600797698846,-9.998337991122003
26.94,-2.4108993001555064,-7.464064670813883,-0.20244790046655226,-1.3822885640502114,-5.314344234939255,-9.946656786494117
26.96,-4.606899300155533,-3.8040646708138866,-8.55944790046658,-1.3567279380274482,-5.360026363900631,-9.891552943826468
26.98,-4.118899300155476,-6.732064670813884,-15.635447900466545,-1.331559488261321,-5.402740470303249,-9.833260272699738
27.0,2.7131006998445173,-4.048064670813886,-16.306447900466594,-1.3067750185481686,-5.442576852520712,-9.77198789564072
27.02,-3.874899300155448,-1.8520646708138884,-16.6114479004666,-1.2823616604011778,-5.479622171572529,-9.7079186423756
27.04,-12.35389930015549,-13.869064670813884,-8.55944790046658,-1.2583023015874628,-5.5139588170504235,-9.641207705854328
27.060000000000002,-8.121786997145684,-12.204138700740621,-3.7006456226226825,-1.2345760204913552,-5.545664290989942,-9.57198157107774
27.080000000000002,1.4572191353569643,-4.096116747277278,-4.872962292911409,-1.2111585164022614,-5.574810611108147,-9.500337228141852
27.1,5.1923249561356695,-2.1648350750887855,-11.64653180588533,-1.1880225287176587,-5.601463735477932,-9.426341680241165
27.12,-1.9838993001554854,-8.867064670813875,-13.683447900466547,-1.1651382420065675,-5.625683012699636,-9.350031754058326
27.14,-0.7638993001554581,-8.928064670813882,-13.195447900466547,-1.1424736767381,-5.647520663668679,-9.271414214636588
27.16,1.219367031502321,-7.106354380230339,-10.865013336341898,-1.1199950657143194,-5.667021301927273,-9.190466181642325
27.18,-4.16936266745264,-4.95095938211911,-12.818763281350169,-1.0976672145081017,-5.684221499670238,-9.10713584057811
27.2,-6.0708993001554745,-4.719064670813879,-9.108447900466558,-1.0754538421713409,-5.6991494067712045,-9.021343441042395
27.22,-6.497899300155495,-9.416064670813881,-7.400447900466588,-1.0533178972534123,-5.711824430835341,-8.932982573491273
27.240000000000002,-1.1298993001554436,-3.7430646708138795,-7.827447900466552,-1.0312218442609078,-5.722256986629871,-8.841921715106627
27.26,-0.7028993001555364,-0.8760646708138893,-15.574447900466566,-1.0091279173157512,-5.730448322989246,-8.748006033730315
27.28,-0.27965361210408946,-5.251291373880039,-13.43647321378019,-0.986998340448735,-5.736390434580185,-8.651059436344458
27.3,1.7371006998445182,-8.684064670813882,-11.548447900466556,-0.9647955164713204,-5.740066064653654,-8.550886845982959
27.32,-2.8378993001555273,-6.0000646708138845,-1.910447900466579,-0.9424821876266625,-5.741448802894755,-8.447276689344552
27.34,-4.301899300155469,-3.01106467081388,-5.9364479004665895,-0.9200215710768249,-5.7405032801295315,-8.340003576967327
27.36,-4.3628993001555045,-4.475064670813879,-7.827447900466552,-0.8973774714292819,-5.737185459770884,-8.228831157359876
27.38,-3.652970943743912,-6.732652268646596,-7.2585062990217235,-0.8745143719711688,-5.731443024604838,-8.113515124398498
27.400000000000002,-0.7638993001554581,-5.756064670813885,-6.607447900466582,-0.851397506824247,-5.723215856207916,-7.9938063533694
27.42,-2.6436059085393957,-3.7423274633061716,-12.468969114147743,-0.8279929178487859,-5.712436602610269,-7.869454136420394
27.44,-1.9838993001554854,-6.305064670813891,-11.975447900466577,-0.8042675021042198,-5.69903132809208,-7.740209484144206
27.46,1.4321006998444545,-7.708064670813883,-10.75544790046655,-0.7801890572642474,-5.682920237531923,-7.605828457217914
27.48,2.652100699844482,-6.976064670813884,-9.4744479004666,-0.7557263332544155,-5.66401846649915,-7.4660754908223
27.5,0.45610069984445545,-8.196064670813882,-9.9624479004666,-0.7308490984314406,-5.642236927360698,-7.320726674991768
27.52,-4.551773844663418,-4.800990750980554,-12.33455721853007,-0.7055282276832557,-5.61748320134659,-7.1695729555666885
27.54,0.5171006998444909,-8.623064670813875,-8.803447900466551,-0.6797358179510848,-5.5896624669002275,-7.012423222323352
27.560000000000002,3.445100699844488,-8.684064670813882,-8.010447900466545,-0.653445334514041,-5.558678455466425,-6.84910725287272
27.580000000000002,-1.2518993001555145,-4.963064670813878,-8.498447900466545,-0.626631789645347,-5.524434426850016,-6.679478483117518
27.6,-4.850899300155447,-3.0720646708138872,-10.572447900466557,-0.5992719538824582,-5.4868341573723685,-6.503416577325958
27.62,-1.8307013225069086,-7.9913137394678335,-9.970498991471931,-0.5713445986733183,-5.445782935206612,-6.320829772964147
27.64,2.652100699844482,-5.268064670813885,-8.864447900466587,-0.5428307677262181,-5.401188558114785,-6.131656977412004
27.66,0.029100699844548217,-2.5230646708138806,-8.55944790046658,-0.5137140736112307,-5.352962329024907,-5.935869595995749
27.68,-3.3868993001555054,-3.560064670813887,-8.132447900466559,-0.4839810159544833,-5.301020044618387,-5.7334730736274135
27.7,-2.2278993001555136,-7.403064670813876,-7.522447900466545,-0.45362131717455756,-5.245282971579058,-5.524508135518128
27.72,0.029100699844548217,-7.7975370337050975,-10.135030380800927,-0.42262827089787813,-5.185678804340611,-5.309051715567131
27.740000000000002,6.861100699844542,-2.8280646708138875,-8.55944790046658,-0.39099909750453676,-5.122142597191261,-5.087217564014154
27.76,2.7131006998445173,-3.316064670813887,-11.792447900466584,-0.35873530089156835,-5.054617662993956,-4.859156528987485
27.78,-4.7898993001555255,-4.353064670813893,-1.666447900466551,-0.32584301970790985,-4.983056430789036,-4.625056510018143
27.8,-10.157899300155464,-10.331064670813873,-4.899447900466555,-0.2923333642866607,-4.907421254659054,-4.38514208550723
27.82,1.0051006998445473,-6.0610646708138916,-4.655447900466584,-0.2582227280267634,-4.827685166007937,-4.139673820020752
27.84,7.542637063480978,1.560885329185959,-12.373611536830154,-0.22353306090851066,-4.743832561235408,-3.888947260292717
27.86,-3.447899300155541,-3.9870646708138793,-8.986447900466601,-0.18829209391476376,-4.655859817274232,-3.633291630709765
27.88,-7.229899300155466,-10.209064670813888,-4.350447900466577,-0.15253350491046136,-4.563775828281846,-3.373068240766446
27.900000000000002,-6.13189930015551,-8.440064670813882,-0.5074479004665591,-0.11629701730478326,-4.467602457083743,-3.1086686197088618
27.92,-1.190899300155479,-5.0850646708138925,-0.5074479004665591,-0.07962842304116513,-4.367374894882512,-2.8405123972653064
27.94,-1.0078993001554863,-3.377064670813894,-4.899447900466555,-0.04257952294546952,-4.263141923469412,-2.569044952550904
27.96,4.116100699844537,-3.1330646708138943,-5.8144479004665754,-0.005207980710864368,-4.154966076264186,-2.294734854613367
27.98,-0.3978993001554727,-3.1330646708138943,-5.44844790046659,0.03242290963297623,-4.042923697048098,-2.018071117837179
28.0,-4.179899300155512,-5.207064670813878,-6.546447900466546,0.07024454067429398,-3.927104896999001,-1.7395602949370979
28.02,-3.6308993001555336,-6.0000646708138845,-4.9604479004665905,0.10818339031328172,-3.8076134112714866,-1.4597234307990483
28.04,2.4081006998444536,-6.183064670813877,-1.4224479004665795,0.1461614995678907,-3.684566356496829,-1.1790929022202024
28.060000000000002,-0.031899300155487254,-2.279064670813881,-1.4834479004665582,0.1840970263447409,-3.558093891013744,-0.8982091710971325
28.080000000000002,-5.582899300155532,-7.220064670813883,-3.3744479004665777,0.2219048706948037,-3.4283387807890238,-0.6176174809674029
28.1,-6.619899300155453,-3.316064670813887,-3.3744479004665777,0.25949736558439873,-3.2954558756791297,-0.3378645283490651
28.12,1.7371006998445182,1.075935329186109,-1.2394479004665868,0.29678502581894595,-3.1596115024791978,-0.05949514093408492
28.14,4.909100699844544,-0.14406467081388996,-0.7514479004665873,0.33367734587033904,-3.020982782726368,0.2169510051702419
28.16,6.800100699844506,-5.024064670813885,0.22455209953341182,0.3700836348690809,-2.8797568840711736,0.4909425968774368
28.18,-1.2518993001555145,-1.8520646708138884,1.444552099533439,0.40591387523318745,-2.736130213819002,0.7619597920436911
28.2,-4.606899300155533,-0.44906467081386836,5.897552099533414,0.4410795918059075,-2.590307562139528,1.0294971923572955
28.22,-5.74963849323922,-3.8469873413229028,5.463784088006358,0.47549472073758436,-2.442501201208844,1.2930666513270372
28.240000000000002,-3.6308993001555336,-5.024064670813885,1.9325520995334386,0.5090764696527307,-2.2929299457326886,1.5521998904334335
28.26,-1.0007556124476638,0.7852227046018815,-2.3911522194034096,0.5417461608990441,-2.1418181798875016,1.8064509008510785
28.28,1.5541006998445255,-0.6930646708138681,0.46855209953344,0.573430047564872,-1.9893948556252272,2.0553981133985344
28.3,3.2621006998444955,-4.109064670813893,3.57955209953343,0.604060088804075,-1.835892467459112,2.2986463243007886
28.32,4.238100699844495,-3.621064670813894,3.9455520995334155,0.633574668579564,-1.681546008981417,2.5358283679368885
28.34,1.2185235280705606,-0.12971072085607865,1.1556209778016235,0.6619192413591668,-1.526591916277614,2.7666065301545895
28.36,1.7013128210567128,1.1155413897921709,0.9364308874122182,0.6890468897443035,-1.3712670034019105,2.990673697981558
28.38,2.9571006998445455,-2.4010646708138665,1.3835520995334036,0.7149187818799199,-1.2158073953932438,3.2077542442445646
28.400000000000002,-0.7028993001555364,-4.780064670813886,4.677552099533443,0.7395045198694254,-1.060447464580336,3.417604648374594
28.42,1.18810069984454,0.038935329186131185,2.17655209953341,0.7627823736180216,-0.9054187758176799,3.620013856978133
28.44,1.2322629951143398,-1.218694495576377,2.2185066293697058,0.7847393972914933,-0.750949046164106,3.8148033896231173
28.46,4.374215089707666,-3.756173158923372,3.456165013958176,0.8053714278860001,-0.5972611248966853,4.001827197125917
28.48,2.5321362219110415,0.20738025204243504,5.272121529027595,0.8246829674201133,-0.44457200061182345,4.180971281584893
28.5,1.49310069984449,4.491935329186106,5.897552099533414,0.8426869523928766,-0.2930918431028524,4.35215308935701
28.52,-2.2278993001555136,2.2959353291861078,3.8235520995334014,0.8594044167607784,-0.14302308839989664,4.515320690162987
28.54,-2.898899300155449,-2.7670646708138804,3.9455520995334155,0.8748640575705724,0.005440424581198311,4.670451757804051
28.560000000000002,2.9407212201535553,-0.49220350808322877,3.799893750714245,0.8891017147576252,0.15211425829160152,4.817552370614673
28.580000000000002,3.609820230259725,3.694391252346056,4.291657115543012,0.9021597777954389,0.2968241158847056,4.956655652365227
28.6,-3.6308993001555336,-0.3270646708138827,5.653552099533442,0.9140865320365569,0.43940651129294084,5.087820276422696
28.62,-8.815899300155479,-3.8040646708138866,2.481552099533417,0.9249354575704155,0.5797093665541402,5.211128857489569
28.64,-2.8378993001555273,1.3809353291861157,-1.7274479004665864,0.9347644935274139,0.7175925334013744,5.326686256342916
28.66,7.044100699844535,4.735935329186134,2.6645520995334095,0.9436352800615037,0.8529282364404009,5.434617823649345
28.68,3.036616016280912,1.3980088791786307,8.527590196252127,0.9516123879588259,0.9856014351918829,5.5350676086959885
28.7,-1.7398993001554572,-3.377064670813894,6.812552099533434,0.9587625429269006,1.1155101021493095,5.62819655750307
28.72,-1.190899300155479,2.234935329186129,2.3595520995334027,0.9651538500655633,1.2425654143715883,5.7141807229545085
28.740000000000002,1.5541006998445255,5.040935329186112,-5.326447900466576,0.9708550243665345,1.3666918568856516,5.793209508427513
28.76,2.4081006998444536,9.61593532918613,-3.3744479004665777,0.9759346340580157,1.487827236733293,5.865483965949225
28.78,-2.646740159321465,-1.8153485370606672,5.745975214010004,0.9804603639989687,1.6059226070401789,5.931215168612992
28.8,0.5356218830518431,-1.6080763120338482,10.72195362625139,0.9844983061897831,1.7209421019528959,5.990622673370328
28.82,4.177100699844459,4.430935329186127,3.701552099533444,0.988112284287289,1.8328626858360026,6.043933084920566
28.84,-4.179899300155512,3.027935329186107,0.7735520995334468,0.9913632188393343,1.9416738225328851,6.091378726557666
28.86,-0.45889930015550817,1.3199353291861087,3.0915520995334305,0.9943085396821281,2.0473770716784796,6.133196421152247
28.88,7.453136457176684,2.1927818538950365,4.477028997886171,0.9970016515994202,2.149985619307041,6.169626384303157
28.900000000000002,4.587407984801316,-1.378950172460518,4.759287035843757,0.9994914589450353,2.24952375020379,6.20091123033951
28.92,-4.057899300155441,1.7469353291861296,0.9565520995334396,1.0018219547642242,2.346026269737619,6.227295089569504
28.94,-7.107899300155509,5.467935329186133,1.0175520995334182,1.0040318805826998,2.4395378827797156,6.249022832481146
28.96,-6.253899300155467,3.2109353291861282,7.727552099533455,1.006154464166945,2.5301125365644985,6.266339393955001
28.98,-3.6308993001555336,-0.8760646708138893,8.764552099533432,1.008217242499989,2.6178127334592007,6.2794891878331045
29.0,0.3341006998444982,-2.035064670813881,5.3485520995334355,1.010241974454556,2.7027088191478894,6.288715599528956
29.02,2.225100699844461,8.822935329186123,-1.2394479004665868,1.0122446425654459,2.784878251556985,6.294260542537421
29.04,-0.7028993001555364,7.663935329186131,3.3965520995334373,1.0142355378231291,2.8644048552738908,6.29636406414284
29.060000000000002,1.7371006998445182,0.40493532918611663,9.191552099533453,1.0162194173214052,2.9413780652512593,6.295263985526956
29.080000000000002,6.3731006998444855,1.5639353291861084,12.180552099533429,1.0181957224816376,3.015892163252018,6.291195560729531
29.1,6.3731006998444855,2.7229353291861287,10.472552099533402,1.0201588450913623,3.088045511314156,6.284391137771963
29.12,-3.9358993001554836,1.7469353291861296,6.385552099533413,1.0220984291980004,3.1579397876147737,6.275079805332305
29.14,-1.4348993001555073,2.2959353291861078,6.385552099533413,1.0239996989144171,3.2256792303115955,6.263487010792009
29.16,2.2861006998444964,3.5159353291861066,8.58155209953344,1.0258438048283463,3.291369894087464,6.2498341396620205
29.18,5.885100699844543,4.247935329186106,8.520552099533404,1.0276081837062172,3.355118922820831,6.234338050788932
29.2,7.3491006998444846,5.040935329186112,5.104552099533407,1.0292669269800894,3.4170338405814857,6.21721056541064
29.22,-2.997488418151769,6.1409570284196615,2.7744087334533165,1.0307911541148247,3.4772218623178395,6.198657911186687
29.240000000000002,-7.290899300155502,1.8079353291861082,6.812552099533434,1.0321493886935358,3.5357892253835987,6.178880125036192
29.26,-2.6548993001555345,2.051935329186108,8.032552099533405,1.033307937665375,3.5928405434599058,6.158070420736263
29.28,0.09010069984447,1.25893532918613,5.165552099533443,1.0342312757956345,3.6484781850785755,6.136414528517387
29.3,2.7741006998445528,6.931935329186132,5.043552099533429,1.0348824364829086,3.7028016791840415,6.1140900147179496
29.32,-1.0078993001554863,4.7969353291861125,3.2135520995334446,1.035223407354997,3.755907149602369,6.091265590515755
29.34,4.9701006998444655,5.955935329186133,1.3835520995334036,1.0352155263595044,3.8078867792837365,6.068100419813813
29.36,2.652100699844482,4.186935329186127,4.616552099533408,1.0348198727852653,3.8588283045831315,6.044743436901449
29.38,-0.27589930015551545,2.8449353291861144,5.3485520995334355,1.0339976478831345,3.9088145401052885,6.02133268404003
29.400000000000002,-0.5198993001555436,2.7229353291861287,4.189552099533444,1.0327105410086967,3.957922935454577,5.997994677736136
29.42,-0.2711395874555304,2.379100853183983,3.711947790033144,1.0309210788747563,4.006225165888216,5.974843810769124
29.44,-2.4108993001555064,7.23693532918611,5.653552099533442,1.0285929568473353,4.053786758846658,5.9519817956205054
29.46,-1.1298993001554436,1.8079353291861082,7.0565520995334055,1.0256913516718185,4.100666757610675,5.929497153942064
29.48,1.6761006998444827,3.088935329186114,5.531552099533428,1.0221832145017995,4.146917422341081,5.907464755968754
