time_s,time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x_centered,acc_y_centered,acc_z_centered
44.664029,248295042,-923.052,-199.653,311.283,10.277100699844482,3.2109353291861282,20.415552099533443
44.669126,248300139,-919.941,-203.74,305.427,13.388100699844472,-0.8760646708138893,14.559552099533448
44.673949,248304962,-919.941,-203.74,305.427,13.388100699844472,-0.8760646708138893,14.559552099533448
44.683905,248314918,-919.941,-203.74,305.427,13.388100699844472,-0.8760646708138893,14.559552099533448
44.685907,248316920,-920.124,-206.18,316.224,13.205100699844479,-3.316064670813887,25.356552099533417
44.693707,248324720,-920.124,-206.18,316.224,13.205100699844479,-3.316064670813887,25.356552099533417
44.702714,248333727,-926.956,-214.171,319.457,6.3731006998444855,-11.307064670813872,28.58955209953342
44.703739,248334752,-926.956,-214.171,319.457,6.3731006998444855,-11.307064670813872,28.58955209953342
44.713555,248344568,-926.956,-214.171,319.457,6.3731006998444855,-11.307064670813872,28.58955209953342
44.719591,248350604,-927.261,-209.108,315.675,6.0681006998445355,-6.244064670813884,24.80755209953344
44.723459,248354472,-927.261,-209.108,315.675,6.0681006998445355,-6.244064670813884,24.80755209953344
44.733403,248364416,-927.261,-209.108,315.675,6.0681006998445355,-6.244064670813884,24.80755209953344
44.736346,248367359,-927.261,-209.108,315.675,6.0681006998445355,-6.244064670813884,24.80755209953344
44.73653,248367543,-923.967,-201.849,311.1,9.362100699844518,1.0149353291861303,20.23255209953345
44.743343,248374356,-923.967,-201.849,311.1,9.362100699844518,1.0149353291861303,20.23255209953345
44.753285,248384298,-922.32,-200.629,305.305,11.009100699844453,2.234935329186129,14.437552099533434
44.763149,248394162,-922.32,-200.629,305.305,11.009100699844453,2.234935329186129,14.437552099533434
44.770128,248401141,-923.723,-202.52,309.331,9.606100699844546,0.3439353291861096,18.463552099533445
44.773052,248404065,-923.723,-202.52,309.331,9.606100699844546,0.3439353291861096,18.463552099533445
44.782998,248414011,-923.723,-202.52,309.331,9.606100699844546,0.3439353291861096,18.463552099533445
44.786887,248417900,-930.067,-204.777,313.784,3.2621006998444955,-1.913064670813867,22.91655209953342
44.792915,248423928,-930.067,-204.777,313.784,3.2621006998444955,-1.913064670813867,22.91655209953342
44.802863,248433876,-930.067,-204.777,313.784,3.2621006998444955,-1.913064670813867,22.91655209953342
44.803759,248434772,-932.385,-209.413,320.128,0.9441006998445118,-6.549064670813891,29.260552099533413
44.812745,248443758,-932.385,-209.413,320.128,0.9441006998445118,-6.549064670813891,29.260552099533413
44.820535,248451548,-929.152,-207.095,319.823,4.177100699844459,-4.231064670813879,28.955552099533406
44.822647,248453660,-929.152,-207.095,319.823,4.177100699844459,-4.231064670813879,28.955552099533406
44.832594,248463607,-929.152,-207.095,319.823,4.177100699844459,-4.231064670813879,28.955552099533406
44.837428,248468441,-926.651,-206.973,313.235,6.678100699844549,-4.109064670813893,22.36755209953344
44.84252,248473533,-926.651,-206.973,313.235,6.678100699844549,-4.109064670813893,22.36755209953344
44.852458,248483471,-926.651,-206.973,313.235,6.678100699844549,-4.109064670813893,22.36755209953344
44.854164,248485177,-926.651,-206.607,310.368,6.678100699844549,-3.7430646708138795,19.500552099533422
44.862475,248493488,-926.651,-206.607,310.368,6.678100699844549,-3.7430646708138795,19.500552099533422
44.871074,248502087,-919.819,-201.3,311.039,13.510100699844543,1.5639353291861084,20.171552099533415
44.872379,248503392,-919.819,-201.3,311.039,13.510100699844543,1.5639353291861084,20.171552099533415
44.882344,248513357,-919.819,-201.3,311.039,13.510100699844543,1.5639353291861084,20.171552099533415
44.887838,248518851,-921.161,-200.141,308.172,12.168100699844558,2.7229353291861287,17.304552099533453
44.892264,248523277,-921.161,-200.141,308.172,12.168100699844558,2.7229353291861287,17.304552099533453
44.902212,248533225,-921.161,-200.141,308.172,12.168100699844558,2.7229353291861287,17.304552099533453
44.904737,248535750,-928.603,-208.132,312.503,4.726100699844551,-5.268064670813885,21.635552099533413
44.912126,248543139,-928.603,-208.132,312.503,4.726100699844551,-5.268064670813885,21.635552099533413
44.921533,248552546,-927.2,-210.389,314.211,6.129100699844457,-7.52506467081389,23.34355209953344
44.922018,248553031,-927.2,-210.389,314.211,6.129100699844457,-7.52506467081389,23.34355209953344
44.931999,248563012,-927.2,-210.389,314.211,6.129100699844457,-7.52506467081389,23.34355209953344
44.938296,248569309,-927.2,-210.389,314.211,6.129100699844457,-7.52506467081389,23.34355209953344
44.938479,248569492,-922.32,-202.581,311.405,11.009100699844453,0.28293532918613096,20.5375520995334
44.941912,248572925,-922.32,-202.581,311.405,11.009100699844453,0.28293532918613096,20.5375520995334
44.95174,248582753,-922.32,-202.581,311.405,11.009100699844453,0.28293532918613096,20.5375520995334
44.955209,248586222,-923.113,-200.568,308.477,10.216100699844446,2.2959353291861078,17.609552099533403
44.961658,248592671,-923.113,-200.568,308.477,10.216100699844446,2.2959353291861078,17.609552099533403
44.971598,248602611,-923.113,-200.568,308.477,10.216100699844446,2.2959353291861078,17.609552099533403
44.971955,248602968,-926.956,-203.74,311.1,6.3731006998444855,-0.8760646708138893,20.23255209953345
44.981504,248612517,-926.956,-203.74,311.1,6.3731006998444855,-0.8760646708138893,20.23255209953345
44.988878,248619891,-933.788,-210.633,312.503,-0.45889930015550817,-7.76906467081389,21.635552099533413
44.991414,248622427,-933.788,-210.633,312.503,-0.45889930015550817,-7.76906467081389,21.635552099533413
45.001379,248632392,-933.788,-210.633,312.503,-0.45889930015550817,-7.76906467081389,21.635552099533413
45.005664,248636677,-931.043,-206.424,312.503,2.2861006998444964,-3.560064670813887,21.635552099533413
45.011288,248642301,-931.043,-206.424,312.503,2.2861006998444964,-3.560064670813887,21.635552099533413
45.021253,248652266,-931.043,-206.424,312.503,2.2861006998444964,-3.560064670813887,21.635552099533413
45.022426,248653439,-931.043,-206.424,312.503,2.2861006998444964,-3.560064670813887,21.635552099533413
45.02261,248653623,-925.187,-198.555,312.747,8.142100699844491,4.308935329186113,21.87955209953344
45.031185,248662198,-925.187,-198.555,312.747,8.142100699844491,4.308935329186113,21.87955209953344
45.03938,248670393,-925.492,-199.104,311.283,7.837100699844541,3.7599353291861064,20.415552099533443
45.041091,248672104,-925.492,-199.104,311.283,7.837100699844541,3.7599353291861064,20.415552099533443
45.051039,248682052,-925.492,-199.104,311.283,7.837100699844541,3.7599353291861064,20.415552099533443
45.056143,248687156,-925.98,-204.655,312.564,7.3491006998444846,-1.7910646708138813,21.69655209953345
45.060964,248691977,-925.98,-204.655,312.564,7.3491006998444846,-1.7910646708138813,21.69655209953345
45.07077,248701783,-925.98,-204.655,312.564,7.3491006998444846,-1.7910646708138813,21.69655209953345
45.073038,248704051,-920.673,-206.18,313.723,12.656100699844501,-3.316064670813887,22.85555209953344
45.080687,248711700,-920.673,-206.18,313.723,12.656100699844501,-3.316064670813887,22.85555209953344
45.089824,248720837,-921.893,-201.3,314.943,11.436100699844474,1.5639353291861084,24.07555209953341
45.090715,248721728,-921.893,-201.3,314.943,11.436100699844474,1.5639353291861084,24.07555209953341
45.10065,248731663,-921.893,-201.3,314.943,11.436100699844474,1.5639353291861084,24.07555209953341
45.106683,248737696,-925.675,-202.52,316.224,7.654100699844548,0.3439353291861096,25.356552099533417
45.110558,248741571,-925.675,-202.52,316.224,7.654100699844548,0.3439353291861096,25.356552099533417
45.120363,248751376,-925.675,-202.52,316.224,7.654100699844548,0.3439353291861096,25.356552099533417
45.123443,248754456,-933.056,-203.801,314.821,0.2731006998444627,-0.9370646708138679,23.953552099533454
45.130282,248761295,-933.056,-203.801,314.821,0.2731006998444627,-0.9370646708138679,23.953552099533454
45.14023,248771243,-933.056,-203.801,314.821,0.2731006998444627,-0.9370646708138679,23.953552099533454
45.140619,248771632,-932.263,-207.217,313.601,1.066100699844469,-4.353064670813893,22.733552099533426
45.150112,248781125,-932.263,-207.217,313.601,1.066100699844469,-4.353064670813893,22.733552099533426
45.15709,248788103,-927.688,-204.533,314.516,5.641100699844515,-1.6690646708138672,23.648552099533447
45.16015,248791163,-927.688,-204.533,314.516,5.641100699844515,-1.6690646708138672,23.648552099533447
45.169959,248800972,-927.688,-204.533,314.516,5.641100699844515,-1.6690646708138672,23.648552099533447
45.173983,248804996,-924.516,-198.372,312.32,8.81310069984454,4.491935329186106,21.45255209953342
45.179877,248810890,-924.516,-198.372,312.32,8.81310069984454,4.491935329186106,21.45255209953342
45.189825,248820838,-924.516,-198.372,312.32,8.81310069984454,4.491935329186106,21.45255209953342
45.190722,248821735,-926.285,-198.921,309.148,7.044100699844535,3.9429353291861275,18.280552099533452
