seconds,data
31.572,0.3582499999999999
31.604,0.3009999999999999
31.637,0.3145
31.68,0.3867499999999999
31.715,0.3585
31.769,0.3077499999999999
31.798,0.31425
31.837,0.319
31.879,0.3380000000000001
31.926,0.3259999999999999
31.964,0.3552499999999999
32.021,0.3380000000000001
32.04,0.3344999999999999
32.077,0.348
32.138,0.31725
32.155,0.3235
32.2,0.3324999999999999
32.239,0.32525
32.29,0.3369999999999999
32.32,0.36275
32.364,0.3429999999999999
32.406,0.3027500000000001
32.435,0.33875
32.481,0.3430000000000001
32.524,0.3340000000000001
32.558,0.32775
32.612,0.3382499999999999
32.64,0.3532499999999999
32.689,0.3612499999999999
32.736,0.3089999999999999
32.755,0.32375
32.799,0.3352499999999999
32.84,0.35075
32.878,0.3554999999999999
32.925,0.33075
32.956,0.37925
32.996,0.3675
33.041,0.3385
33.079,0.3335
33.091,0.33075
33.116,0.3529999999999998
33.157,0.3625
33.209,0.3475
33.24,0.3442499999999999
33.284,0.36075
33.336,0.3732499999999999
33.357,0.3369999999999999
33.395,0.344
33.451,0.3704999999999999
33.476,0.3625
33.52,0.35925
33.559,0.3592499999999999
33.598,0.33725
33.642,0.3709999999999999
33.676,0.385
33.716,0.3839999999999999
33.757,0.3567500000000001
33.799,0.3795
33.843,0.3914999999999999
33.879,0.387
33.926,0.3635
33.957,0.3464999999999999
34.006,0.3709999999999999
34.061,0.3870000000000001
34.089,0.3757500000000001
34.118,0.41775
34.182,0.3625
34.201,0.4055000000000001
34.242,0.3872500000000001
34.275,0.40075
34.318,0.3682499999999999
34.356,0.3922499999999999
34.398,0.3755
34.453,0.3867499999999999
34.483,0.38775
34.528,0.3957499999999999
34.557,0.3914999999999999
34.6,0.3825
34.649,0.3675
34.679,0.396
34.722,0.3630000000000001
34.778,0.345
34.799,0.34675
34.848,0.3385000000000001
34.88,0.3682499999999999
34.917,0.3710000000000001
34.964,0.3419999999999999
34.996,0.3504999999999999
35.05,0.3442499999999999
35.091,0.3714999999999999
35.118,0.3330000000000001
35.17,0.3507499999999999
35.199,0.35975
35.241,0.3515
35.278,0.3317500000000001
35.328,0.3515
35.374,0.34775
35.399,0.33675
35.451,0.32175
35.487,0.3339999999999999
35.518,0.30825
35.569,0.3392499999999999
35.597,0.3302499999999999
35.652,0.33125
35.682,0.32675
35.715,0.31225
35.764,0.3495
35.796,0.3349999999999999
35.85,0.3339999999999999
35.88,0.33125
35.918,0.32425
35.969,0.3525
35.996,0.3075
36.04,0.3205
36.088,0.3602499999999999
36.121,0.31775
36.168,0.31125
36.22,0.31325
36.237,0.3147500000000001
36.289,0.3340000000000001
36.321,0.31125
36.36,0.321
36.399,0.315
36.448,0.3265
36.478,0.3134999999999999
36.52,0.31875
36.567,0.3187499999999998
36.599,0.3135
36.649,0.31725
36.687,0.32
36.72,0.3319999999999999
36.758,0.31375
36.819,0.319
36.841,0.3375000000000001
36.885,0.29525
36.916,0.3129999999999999
36.961,0.3179999999999999
37.003,0.30025
37.043,0.323
37.076,0.30225
37.119,0.32275
37.169,0.2965
37.206,0.3107499999999999
37.236,0.315
37.28,0.3129999999999999
37.327,0.3115
37.357,0.3095
37.42,0.32
37.436,0.3264999999999999
37.49,0.32325
37.531,0.31225
37.556,0.31525
37.614,0.3254999999999999
37.643,0.3122499999999999
37.678,0.31225
37.722,0.3005
37.76,0.30025
37.808,0.3027499999999999
37.84,0.3265
37.879,0.3165
37.926,0.2925000000000001
37.963,0.325
38.014,0.2999999999999999
38.044,0.3155
38.077,0.3155
38.128,0.3105
38.159,0.311
38.207,0.326
38.257,0.31025
38.279,0.31775
38.314,0.317
38.356,0.3225000000000001
38.406,0.2922500000000001
38.435,0.3182499999999999
38.48,0.2985000000000001
38.527,0.3377500000000001
38.558,0.29
38.601,0.30925
38.646,0.31775
38.676,0.3155
38.728,0.294
38.763,0.32275
38.806,0.3235
38.818,0.312
38.851,0.3127500000000001
38.876,0.316
38.924,0.322
38.958,0.3012499999999999
39.013,0.32175
39.048,0.31825
39.088,0.32175
39.117,0.311
39.158,0.31325
39.217,0.31425
39.243,0.3275
39.277,0.31325
39.317,0.28775
39.361,0.302
39.405,0.3167500000000001
39.461,0.298
39.479,0.3165000000000001
39.521,0.3214999999999999
39.576,0.31375
39.598,0.3320000000000001
39.644,0.312
39.679,0.3265
39.727,0.3064999999999999
39.767,0.30825
39.798,0.32025
39.84,0.3385
39.877,0.2995
39.93,0.31975
39.957,0.302
39.995,0.3077499999999999
40.045,0.3017499999999999
40.091,0.2959999999999999
40.117,0.321
40.181,0.35075
40.196,0.3645
40.245,0.3075
40.3,0.3145
40.319,0.31325
40.363,0.3382499999999999
40.398,0.35375
40.452,0.35175
40.482,0.33425
40.518,0.3532499999999998
40.568,0.35775
40.6,0.3604999999999999
40.646,0.3405
40.678,0.3375
40.72,0.362
40.77,0.3432499999999999
40.801,0.32825
40.839,0.3375
40.901,0.33975
40.919,0.33825
40.967,0.3464999999999999
41.0,0.3725
41.041,0.3490000000000001
41.087,0.36225
41.122,0.3717499999999999
41.159,0.3544999999999999
41.194,0.3502499999999999
41.249,0.3615
41.282,0.3725
41.315,0.3534999999999999
41.368,0.3444999999999999
41.4,0.37725
41.45,0.3490000000000001
41.49,0.3295
41.52,0.3462499999999999
41.569,0.3455
41.614,0.3445
41.635,0.3360000000000001
41.68,0.3125000000000001
41.717,0.3667499999999999
41.772,0.35425
41.805,0.3552499999999999
41.835,0.3505
41.889,0.33125
41.916,0.3335
41.955,0.3284999999999999
42.006,0.3645
42.039,0.3372499999999999
42.088,0.3447499999999999
42.115,0.3092499999999999
42.169,0.3125
42.214,0.3175000000000001
42.238,0.3065
42.29,0.31825
42.343,0.3145
